"","Category","Brands","Price","Rating","Review"
"1","Accessories","URVNS 240W USB C Charger, 8-Ports Compact GaN Charger, PD 100W PPS 45W QC20W Multiport Fast Charging Station for MacBook Laptop, iPhone 15 14 Pro Max, iPad Pro, Galaxy S23/S22, Pixel and More","69.","4.8 out of 5 stars","8  "
"2","Accessories","BENFEI 11-in-1 USB C MST Laptop Docking Station with Silicone Woven Design Cable, USB-C HUB with USB-C to 2*HDMI/1*VGA, to 3*USB 3.0/SD/TF Card Reader/Ethernet/100W Power Delivery/3.5mm Aux Audio","35.","4.4 out of 5 stars","82  "
"3","Accessories","HD Laptop Privacy Screen 13.3 Inch Upgraded Laptop Screen Privacy Shield 16:9 Aspect Removable Privacy Screen Compatible with Lenovo/HP/Dell, Blue Light UV-Blocking Screen Privacy Filter","18.","4.7 out of 5 stars","57  "
"4","Accessories","Mac Book Pro Charger - 118W USB C Charger Fast Charger for USB C Port MacBook pro/Air, ipad Pro, Samsung Galaxy and All USB C Device, Include Charge Cable（7.2ft/2.2m）","29.","4.6 out of 5 stars","3,164  "
"5","Accessories","Dell USB 3.0 Ultra HD/4K Triple Display Docking Station (D3100), Black","104.","4.5 out of 5 stars","10,400  "
"6","Accessories","MATEIN Travel Laptop Backpack, Business Anti Theft Slim Durable Laptops Backpack with USB Charging Port, Water Resistant College School Computer Bag Gift for Men & Women Fits 15.6 Inch Notebook, Grey","21.","4.7 out of 5 stars","93,985  "
"7","Accessories","SHRRADOO Extra Large 52L Travel Laptop Backpack with USB Charging Port, College Backpack Airline Approved Business Work Bag Fit 17 Inch Laptops for Men Women,Black","32.","4.7 out of 5 stars","34,671  "
"8","Accessories","Taygeer Travel Backpack for Women, Carry On Backpack with USB Charging Port & Shoe Pouch, TSA 15.6inch Laptop Backpack Flight Approved, Nurse Bag Casual Daypack for Weekender Business Hiking, Pink","23.","4.7 out of 5 stars","3,507  "
"9","Accessories","Dell 65W USB-C Laptop Charger for XPS and Latitude 5000 - Power Cord Included","25.","4.6 out of 5 stars","1,022  "
"10","Accessories","YOREPEK Travel Backpack, Extra Large 50L Laptop Backpacks for Men Women, Water Resistant College Backpacks Airline Approved Business Work Bag with USB Charging Port Fits 17 Inch Computer, Black","26.","4.7 out of 5 stars","43,663  "
"11","Accessories","Charger for MacBook Air MacBook Pro 13 14 15 16 inch 2023 2022 2021 2020 2019 2018, M1 M2 Laptop 67W USB C Power Adapter, iPad, LED, 6.6FT USB-C Cable Charging as Fast as MagSafe 3, Original Quality","27.","4.6 out of 5 stars","2,841  "
"12","Accessories","65W Laptop Charger for Microsoft Surface 9, 8, 7+, 7, 6, 5, 4, 3, X, Windows Surface Laptop 5, 4, 3, 2, 1 Studio, Surface Go Tablet, Surface Book 3, 2, 1, Support 44W, 36W, LED, 10FT","26.","4.6 out of 5 stars","1,867  "
"13","Accessories","ZOEGAA Magnetic 14 Inch Laptop Privacy Screen Filter,Compatible with HP/Dell/Acer/Samsung/Lenovo/LG/Toshiba,for 16:9 Widescreen Display Laptop Privacy Screen 14 inch and Anti-Glare Protector","28.","4.4 out of 5 stars","82  "
"14","Accessories","A18-150P1A 20V 7.5A 150W Laptop Charger for Asus TUF Gaming Laptop FX505DU FX505DT FX505GT FX505DD FX705GT FX705DD FX705DT FX705DU Rog Strix GL531GT GL731GT Asus Ac Adapter Power Supply","48.","5.0 out of 5 stars","4  "
"15","Accessories","SSK 8K USB C Dock for Thunderbolt 4, MacBook Docking Station 3 Monitors,10Gbps USB C Hub Dual HDMI, Displayport, Ethernet,100W PD, Mic/Audio, USB C&A 3.2 Gen 2 Port for iPhone 15/Mac/Lenovo Laptop","69.","4.0 out of 5 stars","55  "
"16","Accessories","havit HV-F2056 15.6""-17"" Laptop Cooler Cooling Pad - Slim Portable USB Powered (3 Fans), Black/Blue","27.","4.5 out of 5 stars","40,239  "
"17","Accessories","BESIGN LS03 Aluminum Laptop Stand, Ergonomic Detachable Computer Stand, Riser Holder Notebook Stand Compatible with Air, Pro, Dell, HP, Lenovo More 10-15.6"" Laptops, Silver","14.","4.8 out of 5 stars","15,125  "
"18","Accessories","Laptop Backpack,Business Travel Anti Theft Slim Durable Laptops Backpack with USB Charging Port,Water Resistant College Computer Bag for Women & Men Fits 15.6 Inch Laptop and Notebook - Black","29.","4.6 out of 5 stars","29,084  "
"19","Accessories","CalDigit TS4 Thunderbolt 4 Dock - 18 Ports, 98W Charging, 40Gb/s Thunderbolt 4, USB-A/C, 2.5GbE, 8K/6K Displays, Mac/PC/Chrome Compatible","399.","4.2 out of 5 stars","1,186  "
"20","Accessories","Anker 553 USB-C Hub, 8-in-1 USB C Dock, Dual 4K HDMI USB C to USB Adapter, 1 Gbps Ethernet USB Hub, 100W Power Delivery, SD Card Reader for MacBook Pro, XPS and More","59.","4.3 out of 5 stars","3,632  "
"21","Accessories","JanSport Laptop Backpack - Computer Bag with 2 Compartments, Ergonomic Shoulder Straps, 15” Laptop Sleeve, Haul Handle - Book Rucksack - Black","54.","4.7 out of 5 stars","5,454  "
"22","Accessories","Laptop Stand for Desk, Adjustable Laptop Riser ABS+Silicone Foldable Portable Laptop Holder, Ventilated Cooling Notebook Stand for 10-15.6” Laptops,Tablet-Black","9.","4.5 out of 5 stars","8,311  "
"23","Accessories","Universal Chromebook Charger USB C for Hp 65W 45W USB-C Laptop Charger,Replacement for Lenovo Thinkpad/Yoga,Dell Chromebook 3100,Latitude 5420,Asus,Samsung,Acer,Google Series Type C Power Cord","14.","4.3 out of 5 stars","6,951  "
"24","Accessories","Lenovo Laptop Bag T210, Messenger Shoulder Bag for Laptop or Tablet, Sleek, Durable & Water-Repellent Fabric","14.","4.7 out of 5 stars","24,420  "
"25","Accessories","Mac Book Air Charger Replacement for Mac Air AC 45W Power T-tip Shape Connector Power Adapter for 11 inch and 13 inch (Between 2012-2017)","19.","4.4 out of 5 stars","4,832  "
"26","Accessories","Amazon Basics Laptop Stand Riser, Portable and Adjustable Stand, for Notebook up to 17 Inch, Silver","29.","4.5 out of 5 stars","327  "
"27","Accessories","Dell WD19S Docking Station with 130W Power Adapter and 90W Power Delivery - USB Type-C, HDMI, Dual DisplayPort (WD19S130W) -Boomph's Comprehensive Ultimate Performance Dock Solution for Your Workspace","219.","4.2 out of 5 stars","101  "
"28","Accessories","HP USB-C Dock G5-8 in 1 Adapter for Both USB-C and Thunderbolt-Enabled Laptops, PCs, & Notebooks - Single Cable for Charging, Networking, or Data Transfers - Great for Secure & Remote Management","142.","4.4 out of 5 stars","249  "
"29","Accessories","Mac Book Pro Charger Replacement for Mac Pro 13-Inch 2012-2016 Retina Display Ac 60W 2 T Connector Power Adapter, Laptop Charger Compatible with Mac Air（Late 2012-2017）","19.","4.4 out of 5 stars","3,960  "
"30","Accessories","Lamicall Adjustable Laptop Stand, Portable Laptop Riser, Aluminum Laptop Stand for Desk Foldable, Ergonomic Computer Notebook Stand Holder for MacBook Air Pro, Dell XPS, HP (10-17.3'') - Silver","35.","4.8 out of 5 stars","3,837  "
"31","Accessories","𝐒𝐥𝐢𝐦𝐐 GaN Charger for Laptop, DC 20V and Two USB C PD3.0 100W : 240W,230W,200W,180W,170W - Gaming Laptop AC Adapter for Dell,MSI,Lenovo,HP,Razer,Asus,Acer... (3-Pin)","109.","5.0 out of 5 stars","2  "
"32","Accessories","ORICO 10Gbps Docking Station,10-in-1 USB C Hub to 4K@60Hz HDMI, 3×USB 3.2 10G,USB 3.0,100W PD,SD/TF Card Reader,Gigabit Ethernet,Audio for Dell/Surface/HP/Lenovo Laptops","54.","4.4 out of 5 stars","49  "
"33","Accessories","SenseAGE 12.5 Inch Magnetic Privacy Screen for Laptop 16:9 Widescreen Display, Easy On/Off Privacy Filter, Anti-Blue Light Anti-Glare for Eye Protect, Screen Protector Compatible with Lenovo HP Dell","33.","",""
"34","Television","Multi USB Charging Cable 4A 4-in-1 Retractable USB Fast Charger Cord for Dual IP/Type C/Micro USB Ports Compatible with Phone/Huawei/Samsung Galaxy/Sony/LG/Tablets(3Pack/4Ft)","18.","4.5 out of 5 stars","462  "
"35","Television","Multi Charging Cable 3.5A [2Pack 6Ft] 4 in 1 Fast Charger Cable Multi Charging Cord USB Cable Adapter with 2 * IP/Type C/Micro USB Port for Cell Phones/IP/Samsung Galaxy/Ps/LG/Huawei/Tablets and More","13.","4.5 out of 5 stars","2,184  "
"36","Television","SKW Audiophiles RCA Cable 2RCA Male to 2RCA Male HiFi System Interconnect Cable with Diameter 7mm 16.4ft/5M","82.","4.7 out of 5 stars","2,050  "
"37","Television","Roku Express 4K+ | Roku Streaming Device 4K/HDR, Roku Voice Remote, Free & Live TV","29.","4.7 out of 5 stars","73,041  "
"38","Television","Roku Streaming Stick - Portable 4K/HDR/Dolby Vision Streaming Device, Voice Remote, Free & Live TV","49.","4.7 out of 5 stars","72,128  "
"39","Television","VIZIO 40-inch D-Series Full HD 1080p Smart TV with AMD FreeSync, Apple AirPlay and Chromecast Built-in, Alexa Compatibility, D40f-J09, 2022 Model","158.","4.3 out of 5 stars","9,298  "
"40","Television","Full Motion TV Monitor Wall Mount Bracket Articulating Arms Swivel Tilt Extension Rotation for Most 13-42 Inch LED LCD Flat Curved Screen TVs & Monitors, Max VESA 200x200mm up to 44lbs by Pipishell","18.","4.6 out of 5 stars","118,074  "
"41","Television","(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Stick and Box)","12.","4.5 out of 5 stars","26,577  "
"42","Television","Mounting Dream UL Listed TV Mount for Most 37-75 Inch TV, Universal Tilt TV Wall Mount Fit 16"", 18"", 24"" Stud with Loading Capacity 132lbs, Max Vesa 600 x 400mm, Low Profile Flat Wall Mount Bracket","32.","4.7 out of 5 stars","105,541  "
"43","Television","Roku Express | HD Roku Streaming Device with Standard Remote (no TV controls), Free & Live TV","24.","4.7 out of 5 stars","32,262  "
"44","Television","Roku Voice Remote | TV Remote Control with Voice Control, TV Controls, Simple Setup, & Pre-Set App Shortcuts - Replacement Remote Compatible with Roku TV, Roku Players, & Roku Audio","19.","4.5 out of 5 stars","7,304  "
"45","Television","etguuds 2-Pack 3ft USB C Cable 3A Fast Charge, USB A to Type C Charger Cord Braided Compatible with Samsung Galaxy A10e A20 A50 A51 A71, S20 S10 S9 S8 Plus S10E, Note 20 10 9 8, Moto G7 G8","6.","4.6 out of 5 stars","54,518  "
"46","Television","Multi Charging Cable 10Ft 2Pack Multi Fast Charger Cable Braided Universal 3 in 1 Multi Charging Cord Long Multi USB Cable Adapter IP/Type C/Micro USB Port for Cell Phones/Tablets/Samsung Galaxy/More","12.","4.4 out of 5 stars","992  "
"47","Television","Magnetic Charging Cable [5-Pack,3/3/6/10/10FT] 3 in 1 Magnetic Phone Charger 360°&180° Rotating Magnetic Charger Cable with LED Light Nylon Braided Cord for Micro-USB/USB C and i-Product Device-Purple","18.","4.2 out of 5 stars","1,041  "
"48","Television","𝟭𝟬𝗙𝗧 𝟭𝟬𝟬𝗪 USB C to USB C Charging Cable, USB C Cable for iPhone 15/15 Pro/15 Plus/15 Pro Max, 100W Fast Charging Cord MacBook Pro, MacBook Air, iPad, Galaxy USB-C Phone - 10ft","9.","4.6 out of 5 stars","385  "
"49","Television","Amazon Basics Full Motion Articulating TV Monitor Wall Mount for 26"" to 55"" TVs and Flat Panels up to 80 Lbs, Black","31.","4.7 out of 5 stars","39,616  "
"50","Television","Mounting Dream TV Wall Mount for 32-65 Inch TV, TV Mount with Swivel and Tilt, Full Motion TV Bracket with Articulating Dual Arms, Fits 16inch Studs, Max VESA 400X400 mm, 99lbs, MD2380","47.","4.8 out of 5 stars","38,903  "
"51","Television","Roku Ultra | The Ultimate Streaming Device 4K/HDR/Dolby Vision/Atmos, Rechargeable Roku Voice Remote Pro, Ethernet Port, Hands-Free Controls, Lost Remote Finder, Free & Live TV","91.","4.6 out of 5 stars","9,120  "
"52","Television","Chromecast with Google TV (HD) - Streaming Stick Entertainment on Your TV with Voice Search - Watch Movies, Shows, and Live TV in 1080p HD - Snow","","4.6 out of 5 stars","11,314  "
"53","Television","Highwings 8K 10K HDMI Cable 48Gbps 6.6FT/2M, Certified Ultra High Speed HDMI® Cable Braided Cord-4K@120Hz 8K@60Hz, DTS:X, HDCP 2.2 & 2.3, HDR 10 Compatible with Roku TV/PS5/HDTV/Blu-ray","9.","4.7 out of 5 stars","26,262  "
"54","Television","Newest Universal Remote Control for All Samsung TV Remote Compatible All Samsung LCD LED HDTV 3D Smart TVs Models","9.","4.4 out of 5 stars","15,321  "
"55","Television","Anker USB C Charger Cable [2 Pack, 6ft], 310 Type C Charger Cable Fast Charging, Braided USB A to USB C Cable for Samsung Galaxy Note 10 Note 9/S10+ S10, LG V30 (USB 2.0, Black)","6.","4.7 out of 5 stars","9,843  "
"56","Television","Screen Cleaner Spray (16oz) - Large Screen Cleaner Bottle - TV Screen Cleaner, Computer Screen Cleaner, for Laptop, Phone, Ipad - Computer Cleaning kit Electronic Cleaner - Microfiber Cloth Wipes","19.","4.6 out of 5 stars","27,617  "
"57","Television","SK SYUKUYU RF Remote Control Page Turner for Kindle Reading Ipad Surface Comics, iPhone Android Tablets Reading Novels Taking Photos","33.","4.5 out of 5 stars","7,954  "
"58","Television","Google Chromecast with Google TV (4K)- Streaming Stick Entertainment with Voice Search - Watch Movies, Shows, and Live TV in 4K HDR - Snow","","4.6 out of 5 stars","12,293  "
"59","Television","Anker USB C Cable 100W 10ft, USB C to USB C Cable USB 2.0, Type C Charging Cable Fast Charge, Compatible with iPhone 15/15 pro, MacBook, iPad, Samsung Galaxy S23, for Home and Daily Use","11.","4.8 out of 5 stars","14,851  "
"60","Television","Amazon Basics High-Speed HDMI Cable For Television, A Male to A Male, 18 Gbps, 4K/60Hz, 6 Feet, Black","9.","4.7 out of 5 stars","530,458  "
"61","Television","Basesailor USB Type C Charger Cable 6.6FT 2Pack,USBC Car Play Charging Cord for iPhone 15 Pro Max,Samsung Galaxy AI S24 24 S23 S22 21 Plus Ultra,S10 S10E 10E S20 FE Flip,A52 A53 A54,Google Pixel 8 7 3","9.","4.6 out of 5 stars","27,427  "
"62","Television","Anker USB C Charger Cable (6ft 100W, 2Pack), USB 2.0 Type C Fast Charging Cable for iPhone 15 / 15Pro / 15Plus / 15ProMax MacBook Pro 2020, iPad Pro 2020, iPad Air 4, Samsung Galaxy S23+/S23 Ultra","14.","4.7 out of 5 stars","11,767  "
"63","Television","AINOPE USB C Cable [2-Pack, 6.6ft] 3.1A Type C Charger Fast Charging Right Angle, Durable Nylon Braided USB C Charging Cable Compatible with Galaxy S10 S9 S8 Plus S21, Note 10 9 8, LG, Type C Charger","8.","4.7 out of 5 stars","104,719  "
"64","Television","Pipishell UL Listed Tilt TV Wall Mount Bracket Low Profile for Most 23-55 Inch LED LCD OLED 4K Flat Curved TVs up to 99lbs Max VESA 400x400mm, 8° Tilting for Anti-Glaring, Fits 8-16 inch Wood Stud","21.","4.6 out of 5 stars","18,081  "
"65","Television","Digital Fiber Optic Audio Cable for Sound Bar Toslink Cord Male to Male 24K Gold Plated Connector Optical Audio Cable 6ft 10ft S/PDIF Glass Core, 3.3feet/1M IMP-2201","21.","4.8 out of 5 stars","45  "
"66","Television","RCA Cord Assembly Harness Car Audio Video Compatible with Pioneer AVIC AVH CDP1803 - XT91909","24.","4.6 out of 5 stars","68  "
